id,name,first_name,birth_date,birthplace_notes,rank_id,birth_place_id
65,Saxer-Stauffacher,Ernst,04.08.1891,,,
66,Schmidheiny,"Ernst 2",16.07.1902,,,29
67,Stampfli-Kuoch,Walther,03.12.1884,,,30
68,Stolz-Morf,Robert,20.12.1903,,0,31
69,"Vieli-Pury de",Peter,17.03.1890,,3,32
70,"Vogel-Wattenwyl von","Robert Carl (Heinrich)",17.10.1888,,3,
71,Wackernagel-Vischer,"Karl Gustav",22.04.1893,,5,17
72,Wehinger-Piehler,Arthur,21.03.1906,,,
73,"Wolfer-de Armas",Herbert,19.08.1909,,3,33
74,Anliker,Fritz,13.12.1918,,,
75,Binkert-Gerster,Pius,22.05.1923,,0,34
76,"Dunant-Rivoyre, de",Yves,08.09.1912,,3,35
77,Eng,Franz,19.07.1928,,3,36
78,Gehrig,Alfred,04.07.1912,,,10
79,Hummel,Piero,02.12.1922,,2,10
80,Kohli,Paul,16.04.1914,,0,
81,Peyrot-Tissot,"François",19.06.1918,,3,37
82,Piccot,"Noel Louis",1919,,,
83,Roost,Walter,21.05.1927,,3,
84,Stockmann-Etter,Heinrich,15.04.1914,,3,38
85,Straub,Emil,05.10.1920,,,
86,Zumstein,Heinz,31.07.1921,,0,
87,Barell,"Emil Christoph",13.01.1874,,,39
88,Bindschedler-Lauffer,"Rudolf Gottfried",09.07.1883,,,40
89,Desmarais,"André",26.10.1956,,,41
90,Brodbeck-Sandreuter,"Jacques (Ernst Jakob)",18.06.1882,,,17
91,Diggelmann-Toggenburger,Jakob,27.11.1891,,3,10
92,Duaime-Jacob,Henri,07.08.1875,,,20
93,Fessler-Meyer,Walter,17.03.1881,,,
94,Fischbacher,Jakob,09.06.1887,,0,
95,Hindenlang,Emil,1882,,,
96,"Hürlimann-König",Gustav,30.03.1872,,1,42
97,Merton,Alfred,25.06.1878,,,43
98,Merton,Richard,01.12.1881,,,44
99,Paillard,Albert,10.09.1881,,0,45
100,Ruppert-Wintsch,Wilhelm,06.01.1878,,,33
101,"Schulthess-Schulthess-Rechberg von","Wilhelm (Willy)",19.11.1885,,3,10
102,"Strässle",Joseph,27.03.1886,,,
103,Strohl,"Ivan A.",,,,
104,Veillon,Emile,18.09.1864,,,20
105,"Wattenwyl, von",Erich,01.10.1889,,,
106,Wieland-Zahn,Alfred,23.11.1869,,0,17
107,David-Grossmann,Heinrich,29.06.1856,,,46
108,Seitz,Fridolin,,,,
109,Kaiser,"Jakob 2",20.02.1833,,,47
110,Maurer,"Maximilian Julius",14.07.1857,,,48
111,Epper,Josef,24.03.1855,,,49
112,Kronauer,Otto,08.12.1850,,,33
113,Wildbolz-Marcuard,Eduard,13.02.1858,,6,50
114,Schumacher,Vinzenz,01.05.1843,,,
115,Baur-Widmer,"Hans Jakob",03.11.1863,,0,10
116,Beder-Stoll,Karl,1851,,,
117,Berger-Huber,Albert,1864,,,
118,Biedermann-Reinhart,Jakob-Heinrich,30.07.1840,,,
119,Biermann,Gustav,,,,43
120,"Blonay, de",Godefroy,25.07.1869,,,51
121,"Brüderlin-Ronus","Rudolf N. (Junior)",11.06.1853,,1,17
122,"Burckhardt-Ringwald(-von Speyr)",Gustav,1844,,,
123,Chavannes-Hay,Edmond,21.10.1865,,,
124,Chavannes-Krauss,Roger,1860,,,
125,Chrambach,Carl,1853,,,
126,Christ-Merian,Balthasar,1843,,,
127,Compondu,Auguste,31.10.1858,,,52
128,Constantin-Duvillard,"Marc-Eugène",13.04.1860,,,20
129,"Cuénod-Rieu(-Lombard)",Hermann,27.12.1857,,,53
130,"Dardel, de-de Marval","James Adolphe",13.02.1859,,,
131,"Delbrück",Ludwig,11.02.1860,,,54
132,Diethelm-Grob,"Theodor (Friedrich Theodor)",06.01.1850,,,
133,Dreyfus-Brodsky,Jules,11.11.1859,,3,17
134,Erzinger,Leonhard,11.03.1855,,,55
135,Faesi-Vernaleken,"Adolf (Gustav)",1840,,,10
136,Faesi-Schulthess,"Friedrich Heinrich",03.10.1837,,,
137,Frey,Emile,17.10.1862,,,
138,"Fürstenberg",Carl,28.08.1850,,,56
139,Ganzoni-Nadler,Moritz,1865,,,
140,Geigy-Hagenbach,Karl,23.05.1866,,,17
141,Grandjean,Robert,1864,,,
142,"Grüneisen",E.,,,,
143,Hagnauer-Vogel,"Heinrich Richard",15.10.1862,,,
144,Hefti-Jenny,Friedrich,,,,
145,Hegnauer,Rudolf,,,,
146,"Hegner von-von Juvalta",Robert,1861,,,
147,Lazzaro,Mario,1961,,,
148,Heusler-Veillon,Rudolf,1861,,,
149,Hofstetter,"Johann Rudolf",1855,,,57
150,Honegger,Julius,31.08.1856,,,
151,"Hüssy-Bühler",Walter,,,,
152,"Janggen-Pöhn",Arnold,1864,,,2
153,Hermann,,?,,,
154,"Jucker-Schäfer",Benedikt,1841,,,
155,Juillerat,"L. J.",,,,
156,Kinkelin-Schirmer,Hermann,11.11.1832,,,50
157,Klein-Achermann,Fritz,,,,
158,Kleinert-Weber,Heinrich,04.10.1853,,,58
159,"Knüsli-Simond",Hans,08.03.1841,,,59
160,"Landolt-Rütschi","Karl Rudolf",1850,,,
161,Maggi,Julius,09.10.1846,,,26
162,Mankiewitz,Paul,07.11.1857,,,
163,Weber,Aug.,?,,,
164,"Marcuard-von Wurstemberger","François Eugene Alphonse",04.05.1847,,,50
165,Merian-Paravicini,Heinrich,16.03.1849,,3,17
166,Meyer-Buck,Theodor,1849,,,
167,Mez,Julius,1846,,,
168,Mirabaud-Paccard,"Ivan Jacques (Jean)",05.02.1850,,,20
169,Mirabaud-Koechlin,"Albert Jacques",1851,,,
170,"Mousson-Rüegg",Heinrich,02.02.1866,,0,10
171,"Mühll, von der","Georg Albert",1852,,,
172,"Müller-Landolt",Carl,1869,,,
173,"Müller",Othmar,01.11.1859,,,2
174,Naef-Michel,Edwin,1854,,,
175,Odier-Dunant,"Gabriel Edmond",09.03.1891,,,
176,"Orelli von-von Reding","Paul Karl Eduard",17.08.1849,,,10
177,Passavant-Allemandi,Emanuel,1843,,,
178,Pestalozzi-Karberg,Wilhelm,23.10.1861,,,
179,Peterelli,Franz,23.02.1847,,,60
180,Raisin-Braillard,"Frédéric-Pierre",25.04.1851,,,61
181,Vaucher,Jean-Marc,1971,,,
182,Raths-Guyer,Johann,1856,,7,
183,Ritter-Wehrle,Oscar,1857,,,62
184,Ritter-Oltramare,"Eugène",09.11.1836,,,20
185,Rivoire,Emile,06.04.1850,,,63
186,Rudolph-Schwarzenbach,Eduard,1863,,,
187,"Rüegg-Schellenberg",Heinrich,28.04.1867,,,
188,Sandoz,Albert,1845,,,
189,Sarasin-Alioth,"Hans Franz",25.06.1870,,,
190,Sarasin-Warnery,Reinhold,12.07.1852,,,17
191,Scheurer-Grossenbacher,Alfred,05.05.1840,,,64
192,Schlumberger-Vischer,"Charles Oscar",04.05.1861,,3,17
193,Schmid,Wilhelm,1841,,,
194,"Schnyder von Wartensee-Crivelli",Julius,09.02.1830,,,65
195,"Schrödter",Emil,26.02.1855,,,
196,"Speyr von-Merian",Alfred,1848,,,
197,Stadtmann,Alfred,1855,,0,
198,"Stehlin-von Bavier","Fritz (Friedrich)",25.09.1861,,3,17
199,Stocklin,Carl,,,,
200,Sulger-Burckhardt,August,17.10.1856,,,17
201,Flemming,Manfred,28.01.1930,,,
202,"Sulzer-Seifert (+Evans)","Albert jun.",31.07.1870,,,
203,Sulzer-Imhoof,"Jakob (ou Johann Jakob)",30.09.1855,,5,33
204,Ulrich,Otto,,,,
205,Vicarino-Kaiser,"César",14.03.1833,,,66
206,Vischer-Sarasin,Eduard,29.09.1843,,,
207,Vogel-Fierz,"Hans Jakob Otto",02.07.1852,,,
208,Walch,Emile,09.06.1873,,,
209,"Weidmann-Züst",August,16.05.1842,,,57
210,Zahn-Geigy,Fritz,09.11.1848,,,17
211,Zwahlen,Louis,02.04.1857,,,67
212,Badel,"Félix",1874,,,
213,"Strässle",Christof,1959,,,
214,"Bersier-Mäder",Henri,17.05.1870,,,68
215,Berthoud,Louis-Edouard,06.11.1867,,,
216,Bodmer-Abegg,"Hans Heinrich Martin Leonhard (dit Henry)",06.11.1889,,5,
217,Bodmer-Locher,Ernst,30.01.1897,,1,
218,Borel,Gustave-Adolphe,26.04.1873,,,69
219,Milleret,C.,,,,
220,Bourgeois,Louis,20.08.1883,,,70
221,Bruggisser-Mischalska,"Traugott Martin",26.10.1869,,0,71
222,Chauvet-Odier,"Alexandre Theodore (Alec)",15.02.1888,,3,72
223,Derrer,Karl,1886,,,
224,Dietler,Hans,1870,,,
225,Dollfus,Georges,1875?,,,
226,"Du Pasquier-de Dardel",Eric,22.08.1883,,2,73
227,Dunant-Schumacher,"Georges Ernest",1881,,1,20
228,"Dürsteler-Stockar",Wilhelm,01.06.1881,,,
229,Euler,Rudolf,19.10.1875,,,
230,Firmenich-Albrecht,Fred,24.12.1874,,,20
231,Gautier-Pictet,"Charles Frédéric Wilhelm",01.10.1886,,,
232,Greutert,Eduard,1876,,,
233,Gyr,Hans,,,,
234,"Hagemann-Stüssi",Fritz,17.03.1890,,,17
235,Halter,Oskar,14.09.1883,,5,
236,"Barrès",Henry,?,,,
237,Hentsch,"Conrad Edouard Rodolphe",18.09.1897,,,74
238,Hentsch-Humbert,"René Lucien",27.08.1881,,3,20
239,Hentsch,"Maurice André",14.07.1875,,,74
240,Juillard,Emile,1885,,,
241,Julliard-Reverdin,Robert,11.08.1879,,,
242,Lardelli,Renzo,21.12.1876,,6,75
243,Lenoir-Brot,Georges,29.10.1884,,5,
244,"Lombard-Cellérier",Pierre,12.08.1886,,1,63
245,Manz,"Ernst (W.?)",1881,,,
246,Marguerat,August,11.12.1880,,,76
247,Matter-Bally,"Paul Jakob",30.01.1868,,2,77
248,Mettler,Victor,22.07.1875,,,2
249,Mollwo,Carlo,1878,,,
250,Monteil,Bertrand,26.04.1886,,,3
251,Moor,"Robert Adolph",30.03.1883,,,78
252,"Müller-Koller",Max,1875,,,10
253,"Muralt, von-Sulzer",Heinrich,12.04.1882,,,
254,Naef-Terrisse,"Martin Jean",19.12.1869,,,79
255,Perrochet,Paul,27.05.1871,,,
256,Respinger-Burckhardt,Friedrich,1876,,,
257,Rieckel,"Henry senior",31.05.1858,,,5
258,Sarasin-Koechlin,Heinrich,1886,,,
259,Scheuchzer,Heinrich,19.05.1866,,,
260,Sieber,Hermann,09.07.1881,,2,17
261,"Sprecher-von Bernegg",Andreas,06.03.1895,,,80
262,Staechelin,Rudolf,08.05.1881,,,17
263,Steinfels-Saurer,"Rudolf (Heinrich Friedrich)",16.05.1866,,2,10
264,"Sträuli-Ganzoni","Benjamin Emil",1867,,,
265,Thalmann,Xavier,1876,,,
266,Thurneysen-His,"Pierre (Peter)",13.06.1885,,,17
267,Tissot-Daguette,Charles,14.09.1860,,,
268,Toffanel,J.,,,,
269,"Türler",Carl,,,,
270,Welti-Escher(-Kammerer),"Friedrich Emil",15.06.1857,,,81
271,Zahn-Sarasin,"Carl Adolf",14.10.1877,,3,17
272,Haas,Leonhard,28.09.1908,,3,82
273,Fechtig-Villiger,Robert,06.01.1931,,,
274,Kellerhals,Otto,31.03.1901,,2,83
275,Kohli,Robert,19.04.1896,,,84
276,Schaarschmidt,Fritz,1905,,,
277,Schwartz,Paul,18.05.1905,,,17
278,Staehelin,"Adolf J.",12.06.1899,,,
279,Waibel,Max,02.05.1901,,9,50
280,"Wattenwyl, von-Goumoëns von","René Alfred",08.04.1899,,10,85
281,Abegg,Werner,09.12.1903,,,10
282,"Barbey-de Crousaz(Grasset)",Raymond,1901,,0,
283,"Berchem, van-Busck","Alexandre (Alec)",08.02.1900,,,86
284,"Reinhart-Bühler","Peter Kaspar",28.06.1907,,5,
285,"Boissier-Grand d'Hauteville","Léopold",16.07.1893,,5,20
286,Bonna,"Jean-Frédéric",23.01.1894,,,
287,Brupbacher,"C. Rudolf",05.02.1909,,,
288,Clavel-Respinger,"Alexander Gottfried",1881,,,
289,Comisetti,Louis,17.12.1891,,,20
290,Egli,Franz,23.11.1916,,,
291,Faillettaz,Emmanuel,25.12.1907,,,
292,Fatio-Delessert,"André",25.01.1903,,,
293,Fioroni,Rico,02.07.1888,,,21
294,"Forcart-La Roche",Rudolf,26.07.1906,,,17
295,Frey-Bally,"Gustav Adolf",15.05.1898,,0,87
296,Gerteis,Heinrich,1895,,,
297,Glanzmann,"Hans 2",1891,,,
298,Hafner,Robert,20.04.1890,,,88
299,Hentsch-Cramer,"Robert Edmond",28.07.1906,,,20
300,Heusser,Alfred,03.06.1906,,,
301,"Hürlimann-Huber","Hans (Albert Heinrich)",10.04.1891,,3,
302,"Jéquier","Philippe Edouard",06.09.1897,,,
303,Ketterer,Georges,1893,,,5
304,"Kunz-Foëx",Vladislas,18.09.1880,,3,89
305,Lichti,Hans-Conrad,31.10.1891,,,90
306,Cavadini,Adriano,27.06.1942,,,13
307,"Moos, von",Walter,21.10.1918,,12,21
308,Kuhn,Arthur,,,,
309,Moriaud,David,1899,,,
310,Payot,Emile,,,,
311,Pestalozzi-Keyser,"Hans Anton",23.07.1902,,0,
312,Pictet-Mallet,Albert-Gustave,29.04.1890,,3,20
313,Lescaze,Bernard,31.03.1947,,,
314,Rengel,Heinrich,1907,,0,
315,"Rüfenacht",Otto,19.08.1899?,,,
316,Salvisberg,Werner,16.08.1898,,,
317,Sarasin-Burckhardt,"Hans Franz",23.06.1896,,,
318,Schoeller-Meyer,Walter,12.05.1889,,5,10
319,Sollberger,Werner,01.10.1901,,5,
320,"Staehelin-Mäglin",Max,18.02.1880,,3,17
321,Sulzer,Oskar,09.01.1888,,,91
322,Vogt-Schild,Gottlieb,27.03.1879,,,92
323,Weber,Fritz,23.11.1899,,,
324,Weber,Walter,1894,,,
325,Ernst-Schneebeli,Hans-Ulrich,22.01.1933,,10,10
326,Braendli,Paul,30.07.1930,,2,50
327,Brugger,Alfred,30.04.1923,,,
328,Matter,"Rudolf (Rolf)",16.08.1916,,,93
329,Bigler-Eggenberger,Margrith,14.03.1933,,,94
330,Goumaz,Nathalie,29.10.1965,,,
331,Amsellem,Elie,,,,
332,"Bär",Marc,1955,,,
333,Baumann-Dorigo-Piccolo-Riz,"Paul Sebastian",16.04.1937,,2,95
334,Bulgheroni,Antonio,25.06.1943,,,96
335,Corboz,Denis,1974,,,
336,Chay,"Kwong Soo",,,,
337,"Demole-Dominicé",Guy,21.08.1933,,3,20
338,Baldinger,Paul,,,,
339,"Frauenfelder-Wägeli",Eduard,20.07.1938,,,
340,Gloor,Regula,1956,,,
341,Gross,Peter,25.04.1931,,0,
342,Guignard,Marcel,22.01.1949,,,
343,Limat,"Gérard",1940,,,
344,Loosli,Pierre-Alain,1944,,,
345,Maag,"Rudolf 2",31.01.1946,,,97
346,Marthinsen,John,1949,,,
347,Oeri,Andreas,07.04.1949,,,
348,Pincus,Lionel,02.03.1931,,,
349,Probst,"Gilbert J.B.",17.09.1950,,5,3
350,Renevey,Michel,1944,,,
351,Rickenbacher,Iwan,10.08.1943,,,
352,Royston,Jane,22.07.1958,,,
353,"Rüegg","Hans R.",20.11.1946,,5,98
354,Sarasin,"Andreas R.",15.02.1956,,,
355,Sarasin,"Eric G.",13.01.1958,,,
356,"Schulthess-Rechberg, von-von Stauffenberg",Dieter,13.10.1937,,5,10
357,Sigg,Ulrich,29.04.1946,,,21
358,Simonius-Gruner,Elisabeth,1944,,,
359,"Späth",Lothar,16.11.1937,,,
360,Sutherland,"Peter D.",25.04.1946,,,
361,Waldvogel,Guy,16.10.1936,,5,
362,Wallenberg,Jacob,13.01.1956,,,
363,Wanner-Wyss,Christian,27.07.1947,,,
364,Zinkernagel,Rolf,06.01.1944,,,99
365,Nessi,Gino,06.09.1889,,,
366,Bonna,"Jean Albert",26.09.1945,,,20
367,Schaub,Alice,1914,,,
368,"Albers-Schönberg",Ulrich,1928,,,
369,"Anda-Bührle",Hortense,18.05.1926,,,10
370,Baumann,Roger,1922,,,
371,Burger,Max,08.07.1933,,5,10
372,"Buss-Mösch",Alfred,15.11.1920,,,100
373,"Carbonnier-Du Pasquier","Jean-Frédéric-Louis",13.03.1923,,2,14
374,"Crone, von der-Gloor",Ursula,21.10.1928,,,
375,Vischer-Stampfli,Robert,11.03.1918,,,
376,Delachaux-Martin,Jean-Louis,1933,,2,
377,Domeisen,Kurt,12.11.1929,,,
378,Zogg-Kubli,Heini,12.01.1923,,,57
379,Duvanel,Pierre,12.02.1912,,,101
380,Engel,Albert,20.05.1929,,,
381,Fehr,"Hermann 2",30.06.1941,,,
382,Frick,Hans-Wolfgang,1923,,,
383,Geigy-Werthemann,"Jürg-Felix",29.11.1935,,,17
384,Genillard,Robert,15.06.1929,,,67
385,"Graffenried, von-von Muralt","Charles (Karl)",19.07.1925,,0,
386,Handschin,Eric,1913,,0,97
387,Hatt,Hans,31.05.1912,,,17
388,Jenny,Fritz,,,,
389,"Kundert-Wyss von",Heinz,21.06.1927,,,102
390,Ljungren,"Sverker E.",,,,
391,Luchsinger,Matthias,27.08.1919,,2,
392,Meiner,"Hans Heinz",30.08.1913,,,50
393,Michel,Rosmarie,16.08.1931,,,10
394,Montandon,Giorgio,,,,
395,"Möri",Adolf,,,,
396,Ochsner,"Carlos W.",1911,,,
397,Paravicini-Vogel,Mary,06.09.1912,,,17
398,Pestalozzi-Henggeler,"Anton Rudolf",1915,,,
399,Pestalozzi-Graf,"Heinrich Silvester",1917,,,
400,Prader,Duri,,,,
401,"Rham, de",William,22.08.1922,,,
402,Roussy-Schwab,Alphonse,1921,,,103
403,"Rüegg",Max,02.04.1920,,,
404,Saxer,Peter,,,,
405,Schaffhauser,Hans,1922,,,
406,Schmid,"Arthur 2",25.01.1928,,,104
407,"Schulthess-Trümpy","Heiner P.",01.05.1925,,,10
408,"Schulthess-Rechberg, von-Paravicini",Eric,04.01.1914,,,
409,Stockar-Naef,Alexander,1909,,,
410,Streichenberg,Georges,1932,,,
411,Sulzer-Bodmer,"Henry (Heinrich)",05.04.1907,,0,33
412,Suter-Kern,Rudolf,18.03.1914,,3,105
413,Suter,"Hans J.",,,,
414,"Syz-von Muralt",Raymond,16.05.1919,,5,
415,Heer,Kaspar,1859,,,
416,Turrettini-Bates,Pierre,09.02.1912,,3,20
417,"Jäger",Gottfried,?,,,
418,Weisskopf,Erich,21.12.1920,,1,10
419,Wuffli,"Heinz R.",25.02.1927,,,
420,Walti,Rudolf,,,,
421,David,Eugen,03.09.1945,,5,2
422,Dormann,Rosmarie,27.03.1947,,,21
423,Hess,"Peter 2",14.05.1948,,2,106
424,Imhof,Rudolf,18.06.1940,,,107
425,Simoneschi-Cortesi,Chiara,21.04.1946,,,10
426,Vaudroz,Jean-Claude,23.05.1953,,,108
427,Beck,Serge,20.05.1955,,,20
428,Heberlein-Ruff,Trix,17.07.1942,,,2
429,Langenberger,Christiane,21.04.1941,,,50
430,Fetz,Anita,19.03.1957,,,17
431,Maillard,Pierre-Yves,16.03.1968,,,67
432,Vollmer,Peter,14.04.1946,,,50
433,Fehr,Lisbeth,14.04.1938,,,91
434,Seiler,Hanspeter,09.09.1933,,,109
435,Oehen,Valentin,26.06.1931,,2,110
436,Schmid,Emil,1920,,,
437,Jaeger,Franz,04.12.1941,,2,2
438,Mascarin-Bircher,Ruth,18.08.1945,,,111
439,Dirren,Herbert,04.08.1941,,0,112
440,Huggenberger,Ernst,15.07.1924,,0,10
441,Jelmini,"Camillo Federico Vittorio",29.09.1925,,0,113
442,Nussbaumer,Urs,02.10.1931,,3,114
443,Scherer,Anton,03.11.1925,,,95
444,Spiess,Gertrud,16.04.1914,,,17
445,Reymond,Hubert,01.10.1938,,,116
446,Baumberger,"Hans Ulrich",07.04.1932,,,117
447,"Füeg-Hitz",Cornelia,05.06.1941,,,10
448,Girard-Montet,Gertrude,09.01.1913,,,118
449,"Rüegg-Dressel","Hans 2",29.11.1918,,3,98
450,"Schüle",Kurt,23.08.1944,,3,39
451,Stucky,Georg,06.10.1930,,,17
452,Weber,Karl,01.05.1935,,,119
453,Ammann,Walter,07.06.1946,,,
454,Jaggi,Yvette,11.02.1941,,,67
455,Lieberherr,Emilie,14.10.1924,,,120
456,Miville-Seiler,"Carl (junior)",26.07.1921,,,17
457,Morf-Keller,Doris,17.09.1927,,,2
458,Reiniger,Kurt,13.05.1939,,3,39
459,Ziegler,Jean,19.04.1934,,,50
460,Gehler,Jean-Paul,01.07.1951,,2,121
461,"Geissbühler",Gottlieb,10.10.1925,,2,122
462,Wullschleger,Peter,1970,,,
463,Graf,Hans-Ulrich,20.06.1922,,3,10
464,Hari,"Fritz (Friedrich)",18.02.1928,,0,123
465,"Müller","Bernhard 2",16.04.1931,,,124
466,Grendelmeier,Alois,19.09.1903,,,10
467,"Trüeb-Müller",Walther,03.11.1883,,3,10
468,Masina,Francesco,19.11.1886,,,125
469,Villard,"René",21.08.1902,,,62
470,"Stäubli",Willy,25.08.1896,,,10
471,"Wüthrich",Fritz-Charles,16.10.1893,,2,62
472,"Dollfus (de Volckersberg)-Burckhardt","Ruggero (Roger)",14.07.1876,,6,126
473,Mollet,J,?,,,
474,Gorgerat,Charles,30.10.1879,,1,67
475,Malche,"Albert Jean-Louis",22.02.1876,,,20
476,Ruoss-Kistler,"Erhard 2",08.09.1901,,,127
477,Briner,Jean,28.07.1876,,,128
478,Hagenbach-Bischoff,Eduard,20.02.1833,,,17
479,Zwiker,Bernhard,19.09.1925,,,
480,Hauser,"Fritz E.",03.06.1884,,,17
481,Schmid-Arnold,"Josef Leonz jun.",30.11.1854,,,129
482,Oechslin,Max,28.05.1893,,,
483,Steuble,Adolf,29.06.1856,,,130
484,Wyrsch-Cattani,"Jakob Konstant",03.02.1842,,3,131
485,"Meuron, de-Auberjonois",Alois,30.11.1854,,1,67
486,Rutty-Barbier,"Jacques Samuel",17.03.1849,,3,20
487,"Bühler","Arnold Gottlieb",13.03.1855,,0,132
488,Lachenal-Eggly,"Adrien Louis",19.05.1849,,0,20
489,Locher-Labhart(-Albrecht),"Johann Albert",07.01.1849,,,133
490,Martin,Louis-Alexandre,07.04.1838,,0,134
491,"Müry","Johann Emil",22.04.1843,,,17
492,Ritzchel-Siber,"Marc-Eugène",05.07.1856,,1,20
493,"Schär","Johann Jakob",28.08.1860,,1,135
494,Stadler,"Emil H.",27.04.1853,,1,136
495,Wanner,Samuel,29.03.1853,,,55
496,Eigenmann,Carl,19.09.1849,,0,137
497,"Brüstlein",Alfred,03.04.1853,,3,17
498,Schmid-Coragioni,Eduard,05.10.1844,,1,138
499,Courvoisier-Sachs,"Ludwig Georg",10.11.1843,,,17
500,Lardy,Paul,29.01.1861,,0,
501,Rosat,Henri,1858,,,
502,Weingartner,Seraphin,04.02.1844,,,21
503,Palaz-Masson,Adrien,20.07.1863,,,139
504,Rosier-Coulin,William,26.09.1856,,,140
505,Gautier-Nicolas,Raoul,15.04.1854,,1,20
506,"König (Koenig)",Beat,1941,,3,
507,Mangold,Burkhard,10.09.1873,,,17
508,Reichlen,Joseph,29.10.1846,,,
509,"Löffler-Herzog",Wilhelm,28.06.1887,,5,17
510,Brugger,Hans,06.12.1905,,,
511,Paccard,"Barthélémy",02.10.1796,,,
512,Ulrich-Schulthess,"Paul Gustav",18.06.1856,,0,10
513,Volmar,Theodor,16.04.1847,,,
514,Lam,Yann,1983,,,
515,Chappex-Delacoste,Joseph,05.09.1827,,,141
516,Heller,Emil,13.09.1860,,,142
517,Stuber,"Hans 2",,,,
518,Perrot-Revilliod,Gaston,1870,,15,
519,Bovy,"Gabriel Georges",1881,,,
520,"Bürgi",Oskar,23.07.1873,,1,143
521,Cattani,Otto,28.05.1898,,,
522,Comte,Louis,12.11.1870,,16,
523,Fietz-Frey,Hermann,04.12.1898,,,
524,Heil,"Johann Jacob",13.07.1884,,,144
525,Hescheler,Karl,03.11.1868,,,145
526,Hess,Gottfried,19.02.1876,,,
527,"Jaeggi (ou Jäggi)",Bernhard,17.08.1869,,,146
528,Jouvet,Robert,21.11.1891,,1,
529,Michaud,Joseph,02.05.1908,,,147
530,Mischler,Robert,30.11.1881,,,
531,Moser,Hans,1889,,,
532,Oeri,Felix,28.10.1880,,,
533,"Reinbold-Felice de",Paul,12.06.1875,,,5
534,Reinhart,Oskar,11.06.1885,,,
535,Roos,Otto,20.05.1887,,,17
536,Tanner,Ernst,28.02.1901,,,
537,Thomas-Coulin,Emile,15.11.1860,,,
538,"Tscharner, von",Eduard,13.01.1861,,2,
